"DB_origin","sampCountryorigin","sampContinentorigin","sampContinent","paramType","sampCountry","sampRegion","sampInfolatitude","sampInfolongitude","sampInfoaltitude","sampY","sampYearIncreas","sampSize","sampMethod","sampPoint","sampPointInfo","sampMatType","sampMatbased","sampMatInfo","sampMatCode","growingSystem","anMethRefId","resUnit","resLOD","resLODinfo","resLOQ","resLOQinfo","exprResPerc","ToTresValUncertSD","meanTot","POSresValUncertSD","meanPos","median","medianinfo","min","max","LOD","IQRmin","IQRmax","Concentration","DataSampLevel","Co-occurrence","Ref"
"Palumbo","ES","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Monbaliu S et al, 2010_259"
"Palumbo","ES","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,1,1,"Monbaliu S et al, 2010_260"
"Palumbo","PT","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1,1,"Monbaliu S et al, 2010_261"
"Palumbo","PT","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,1,1,"Monbaliu S et al, 2010_262"
"Palumbo","PT","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,1,1,"Monbaliu S et al, 2010_263"
"Palumbo","PT","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,1,1,"Monbaliu S et al, 2010_264"
"Palumbo","PT","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1,1,"Monbaliu S et al, 2010_265"
"Palumbo","PT","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,1,1,"Monbaliu S et al, 2010_266"
"Palumbo","PT","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,1,1,"Monbaliu S et al, 2010_267"
"Palumbo","PT","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1,1,"Monbaliu S et al, 2010_268"
"Palumbo","PT","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1,1,"Monbaliu S et al, 2010_269"
"Palumbo","PT","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,1,1,"Monbaliu S et al, 2010_270"
"Palumbo","PT","EUROPE",NA,"15ADON",NA,NA,NA,NA,NA,2008,0,1,NA,"postharvest",NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Monbaliu S et al, 2010_271"
"Ana","CN;DE","Europe;Asia","Europe;Asia","15ADON","CN;DE",NA,NA,NA,NA,NA,NA,3,NA,"distribution","retail","feed","maize","aquafeed",NA,NA,"UHPLC-MS/MS","µg/kg","1.02",NA,"3.4",NA,NA,NA,NA,NA,NA,NA,NA,53,452,NA,NA,NA,NA,0,1,"Nacher-Mestre,et,al(2015)"
"Palumbo","IT","EUROPE","EUROPE","15ADON","IT","Lombardia",NA,NA,NA,2008,0,66,"Reg 401/2006","preharvest","harvest","feed","maize",NA,NA,NA,"HPLC","µg/kg","10",NA,"30",NA,"10;12",62,31,NA,NA,-1,NA,NA,301,27,NA,NA,NA,0,0,"Pietri A. et al, 2012"
"Palumbo","IT","EUROPE","EUROPE","15ADON","IT","Veneto",NA,NA,NA,2008,0,34,"Reg 401/2006","preharvest","harvest","feed","maize",NA,NA,NA,"HPLC","µg/kg","10",NA,"30",NA,"10;12",31,22,NA,NA,-1,NA,NA,137,35,NA,NA,NA,0,0,"Pietri A. et al, 2012"
"Palumbo","IT","EUROPE","EUROPE","15ADON","IT","Piemonte",NA,NA,NA,2008,0,4,"Reg 401/2006","preharvest","harvest","feed","maize",NA,NA,NA,"HPLC","µg/kg","10",NA,"30",NA,"10;12",36,28,NA,NA,12,NA,NA,81,50,NA,NA,NA,0,0,"Pietri A. et al, 2012"
"Palumbo","IT","EUROPE","EUROPE","15ADON","IT","FVG",NA,NA,NA,2008,0,33,"Reg 401/2006","preharvest","harvest","feed","maize",NA,NA,NA,"HPLC","µg/kg","10",NA,"30",NA,"10;12",8,6,NA,NA,-1,NA,NA,51,3,NA,NA,NA,0,0,"Pietri A. et al, 2012"
"Palumbo","IT","EUROPE","EUROPE","15ADON","IT","FVG",NA,NA,NA,2008,0,60,"Reg 401/2006","preharvest","harvest","feed","maize",NA,NA,NA,"HPLC","µg/kg","10",NA,"30",NA,"10;12",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,"Pietri A. et al, 2012"
"Ana","IT","Europe","Europe","15ADON","IT","EmiliaRomagna",NA,NA,NA,2014,0,1,NA,"preharvest","harvest",NA,"maize",NA,NA,NA,"LC-MS/MS","µg/kg","5;10","range","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,"Righetti,et,al(2017)"
"Ana","IT","Europe","Europe","15ADON","IT","EmiliaRomagna",NA,NA,NA,2014,0,1,NA,"preharvest","harvest",NA,"maize",NA,NA,NA,"LC-MS/MS","µg/kg","5;10","range","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,"Righetti,et,al(2017)"
"Ana","IT","Europe","Europe","15ADON","IT","EmiliaRomagna",NA,NA,NA,2014,0,1,NA,"preharvest","harvest",NA,"maize",NA,NA,NA,"LC-MS/MS","µg/kg","5;10","range","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,"Righetti,et,al(2017)"
"Ana","IT","Europe","Europe","15ADON","IT","EmiliaRomagna",NA,NA,NA,2014,0,1,NA,"preharvest","harvest",NA,"maize",NA,NA,NA,"LC-MS/MS","µg/kg","5;10","range","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,"Righetti,et,al(2017)"
"Ana","IT","Europe","Europe","15ADON","IT","EmiliaRomagna",NA,NA,NA,2014,0,1,NA,"preharvest","harvest",NA,"maize",NA,NA,NA,"LC-MS/MS","µg/kg","5;10","range","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,"Righetti,et,al(2017)"
"Ana","IT","Europe","Europe","15ADON","IT","EmiliaRomagna",NA,NA,NA,2014,0,1,NA,"preharvest","harvest",NA,"maize",NA,NA,NA,"LC-MS/MS","µg/kg","5;10","range","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-2,1,1,"Righetti,et,al(2017)"
"Ana","IT","Europe","Europe","15ADON","IT","EmiliaRomagna",NA,NA,NA,2014,0,1,NA,"preharvest","harvest",NA,"maize",NA,NA,NA,"LC-MS/MS","µg/kg","5;10","range","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-2,1,1,"Righetti,et,al(2017)"
"Ana","IT","Europe","Europe","15ADON","IT","EmiliaRomagna",NA,NA,NA,2014,0,1,NA,"preharvest","harvest",NA,"maize",NA,NA,NA,"LC-MS/MS","µg/kg","5;10","range","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,"Righetti,et,al(2017)"
"Ana","IT","Europe","Europe","15ADON","IT","EmiliaRomagna",NA,NA,NA,2014,0,1,NA,"preharvest","harvest",NA,"maize",NA,NA,NA,"LC-MS/MS","µg/kg","5;10","range","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-2,1,1,"Righetti,et,al(2017)"
"Ana","IT","Europe","Europe","15ADON","IT","EmiliaRomagna",NA,NA,NA,2014,0,1,NA,"preharvest","harvest",NA,"maize",NA,NA,NA,"LC-MS/MS","µg/kg","5;10","range","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-2,1,1,"Righetti,et,al(2017)"
"Ana","IT","Europe","Europe","15ADON","IT","EmiliaRomagna",NA,NA,NA,2014,0,1,NA,"preharvest","harvest",NA,"maize",NA,NA,NA,"LC-MS/MS","µg/kg","5;10","range","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-2,1,1,"Righetti,et,al(2017)"
"Ana","IT","Europe","Europe","15ADON","IT","EmiliaRomagna",NA,NA,NA,2014,0,1,NA,"preharvest","harvest",NA,"maize",NA,NA,NA,"LC-MS/MS","µg/kg","5;10","range","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-2,1,1,"Righetti,et,al(2017)"
"Ana","IT","Europe","Europe","15ADON","IT","EmiliaRomagna",NA,NA,NA,2014,0,1,NA,"preharvest","harvest",NA,"maize",NA,NA,NA,"LC-MS/MS","µg/kg","5;10","range","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-2,1,1,"Righetti,et,al(2017)"
"Ana","IT","Europe","Europe","15ADON","IT","EmiliaRomagna",NA,NA,NA,2014,0,1,NA,"preharvest","harvest",NA,"maize",NA,NA,NA,"LC-MS/MS","µg/kg","5;10","range","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-2,1,1,"Righetti,et,al(2017)"
"Ana","PL","Europe","Europe","3ADON","PL","Warsaw",NA,NA,NA,NA,NA,21,NA,"distribution","retail","food","maize",NA,NA,NA,"LC-IT-MS/MS","µg/kg","10",NA,"25",NA,NA,12,31,NA,NA,25,NA,25,58,29,NA,NA,NA,0,0,"Bryla,et,al(2014)"
"Palumbo","BE","EUROPE","EUROPE","3ADON","BE",NA,NA,NA,NA,2010,1,12,"monitoring","distribution",NA,"food","maize",NA,"popcorn",NA,"LC-MS/MS","µg/kg","5;12","range","10;24","range",NA,22,30,NA,NA,NA,NA,NA,69,83,NA,NA,NA,0,0,"De Boevre, M. et al, 2012"
"Palumbo","BE","EUROPE","EUROPE","3ADON","BE",NA,NA,NA,NA,2010,1,8,"monitoring",NA,NA,"feed","maize","piglet",NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,47,25,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,0,0,"De Boevre, M. et al, 2012"
"Palumbo","BE","EUROPE","EUROPE","3ADON","BE",NA,NA,NA,NA,2010,1,1,"monitoring",NA,NA,"feed","maize","germ",NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"De Boevre, M. et al, 2012_87"
"Palumbo","BE","EUROPE","EUROPE","3ADON","BE",NA,NA,NA,NA,2010,1,1,"monitoring",NA,NA,"feed","maize","gluten feed",NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,1,1,"De Boevre, M. et al, 2012_88"
"Palumbo","BE","EUROPE","EUROPE","3ADON","BE",NA,NA,NA,NA,2010,1,1,"monitoring",NA,NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,1,1,"De Boevre, M. et al, 2012_89"
"Palumbo","BE","EUROPE","EUROPE","3ADON","BE",NA,NA,NA,NA,2010,1,1,"monitoring",NA,NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,1,1,"De Boevre, M. et al, 2012_90"
"Palumbo","BE","EUROPE","EUROPE","3ADON","BE",NA,NA,NA,NA,2010,1,1,"monitoring",NA,NA,"feed","maize",NA,NA,NA,"LC-MS/MS","µg/kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,1,1,"De Boevre, M. et al, 2012_91"
